trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.42805066795449304}",25,5,-28.320699551504468,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.41948965459540316}",20,0,0.23848424598875484,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.4110998615034951}",30,0,-99.57708205022071,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.4028778642734252}",30,23,2.0599452312123683,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.39482030698795667}",20,0,-69.87755547411369,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.38692390084819756}",20,0,-37.941570477830176,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.3791854228312336}",25,0,-35.243628107226534,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.37160171437460887}",20,11,-3.354326732816529,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.3641696800871167}",25,0,-21.48829928950628,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.35688628648537435}",25,0,1.2776792808415942,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.34974856075566685}",25,7,15.47378695118093,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.3427535895405535}",35,17,-17.084315233454955,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.1, 'e': 0.33589851774974244}",20,12,14.63670991583367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
