date,chg_ted,chg_usd,chg_ffr,chg_cpi,target
9/1/1995,0.09,2.6066,0.06,0.3,1
10/1/1995,0.07,1.4987,-0.04,0.2,0
11/1/1995,-0.14,-0.8573,0.04,0.4,1
12/1/1995,0.09,0.3747,-0.2,0.2,1
1/1/1996,-0.06,0.73,-0.04,0.2,1
2/1/1996,-0.1,1.2062,-0.34,0.8,1
3/1/1996,-0.02,0.1905,0.09,0.3,1
4/1/1996,0.12,-0.07,-0.09,0.5,1
5/1/1996,-0.07,0.5248,0.02,0.6,1
6/1/1996,0,0.4146,0.03,0.3,0
7/1/1996,0.01,0.2369,0.13,0.3,0
8/1/1996,-0.01,-0.3957,-0.18,0.3,1
9/1/1996,0.05,-0.5164,0.08,0.2,1
10/1/1996,0.03,0.6859,-0.06,0.5,1
11/1/1996,-0.09,0.2936,0.07,0.5,1
12/1/1996,0.17,-0.8848,-0.02,0.5,0
1/1/1997,-0.11,1.5056,-0.04,0.4,1
2/1/1997,-0.02,1.6005,-0.06,0.3,1
3/1/1997,-0.03,2.6657,0.2,0.3,0
4/1/1997,0.19,0.7916,0.12,0.1,1
5/1/1997,0.1,1.1174,-0.01,0.1,1
6/1/1997,0.14,-1.6167,0.06,0,1
7/1/1997,-0.22,-0.5227,-0.04,0.3,1
8/1/1997,-0.1,1.0323,0.02,0.2,0
9/1/1997,0.18,1.9702,0,0.4,1
10/1/1997,0.02,-0.4182,-0.04,0.4,0
11/1/1997,-0.09,-0.6265,0.02,0.3,1
12/1/1997,0.05,0.5793,-0.02,0.2,1
1/1/1998,-0.14,2.2535,0.06,0.1,1
2/1/1998,-0.06,1.2248,-0.05,0.2,1
3/1/1998,0.11,-0.9329,-0.02,0,1
4/1/1998,0.09,0.3776,-0.04,0,1
5/1/1998,-0.06,0.463,0.04,0.2,0
6/1/1998,0.03,0.3753,0.07,0.4,1
7/1/1998,0.01,1.7014,-0.02,0.2,0
8/1/1998,0.05,0.6313,0.01,0.4,0
9/1/1998,0.11,1.5468,-0.04,0.2,1
10/1/1998,0.42,-4.0155,-0.44,0.1,1
11/1/1998,-0.4,-3.3045,-0.24,0.4,1
12/1/1998,-0.07,0.8722,-0.15,0.2,1
1/1/1999,-0.17,-0.7931,-0.05,0.3,1
2/1/1999,-0.11,-0.7521,0.13,0.3,0
3/1/1999,0,1.3788,0.05,0,1
4/1/1999,0.15,2.0032,-0.07,0.1,1
5/1/1999,-0.19,0.1274,0,1.1,0
6/1/1999,0.09,0.0519,0.02,0.1,1
7/1/1999,0.15,0.8465,0.23,0,0
